Date,AAPL,AMZN,BLK,GOOG,MSFT
2017-10-06,155.300003,989.580017,463.22000099999997,978.8900150000001,76.0
2017-10-05,155.389999,980.849976,464.42999299999997,969.9600220000001,75.970001
2017-10-04,153.479996,965.4500119999999,457.910004,951.679993,74.690002
2017-10-03,154.479996,957.099976,450.790009,957.7899779999999,74.260002
2017-10-02,153.809998,959.1900019999999,449.950012,953.2700199999999,74.610001
2017-09-29,154.119995,961.349976,447.089996,959.1099849999999,74.489998
2017-09-28,153.279999,956.400024,446.10998499999994,949.5,73.870003
2017-09-27,154.229996,950.8699949999999,438.39999400000005,944.48999,73.849998
2017-09-26,153.139999,938.599976,434.39999400000005,924.8599849999999,73.260002
2017-09-25,150.550003,939.7899779999999,437.630005,920.9699710000001,73.260002
2017-09-22,151.889999,955.099976,435.48999000000003,928.5300289999999,74.410004
2017-09-21,153.389999,964.650024,433.630005,932.4500119999999,74.209999
2017-09-20,156.070007,973.2100220000001,434.07000700000003,931.580017,74.940002
2017-09-19,158.729996,969.8599849999999,432.39001500000006,921.8099980000001,75.440002
2017-09-18,158.669998,974.1900019999999,429.44000199999994,915.0,75.160004
2017-09-15,159.880005,986.7899779999999,428.72000099999997,920.2899779999999,75.309998
2017-09-14,158.279999,992.2100220000001,425.69000199999994,925.1099849999999,74.769997
2017-09-13,159.649994,999.599976,425.51998899999995,935.090027,75.209999
2017-09-12,160.860001,982.580017,428.57000700000003,932.070007,74.68
2017-09-11,161.5,977.9600220000001,424.040009,929.080017,74.760002
2017-09-08,158.630005,965.900024,415.950012,926.5,73.980003
2017-09-07,161.259995,979.4699710000001,414.25,935.9500119999999,74.339996
2017-09-06,161.91000400000001,967.7999880000001,412.190002,927.8099980000001,73.400002
2017-09-05,162.080002,965.2700199999999,413.649994,928.4500119999999,73.610001
2017-09-01,164.050003,978.25,421.77999900000003,937.340027,73.940002
2017-08-31,164.0,980.599976,419.01001,939.330017,74.769997
2017-08-30,163.350006,967.590027,413.700012,929.570007,74.010002
2017-08-29,162.91000400000001,954.0599980000001,411.642456,921.2899779999999,73.050003
2017-08-28,161.470001,946.0200199999999,411.85116600000003,913.8099980000001,72.83000200000001
2017-08-25,159.860001,945.26001,413.868988,915.8900150000001,72.82
2017-08-24,159.270004,952.4500119999999,413.441559,921.2800289999999,72.690002
2017-08-23,159.979996,958.0,415.558777,927.0,72.720001
2017-08-22,159.779999,966.900024,418.838959,924.6900019999999,73.160004
2017-08-21,157.21000700000002,953.2899779999999,412.875,906.659973,72.150002
2017-08-18,157.5,958.4699710000001,414.04788199999996,910.669983,72.489998
2017-08-17,157.860001,960.570007,417.41754199999997,910.9799800000001,72.400002
2017-08-16,160.949997,978.179993,424.50473,926.9600220000001,73.650002
2017-08-15,161.600006,982.73999,425.677612,922.2199710000001,73.220001
2017-08-14,159.850006,983.2999880000001,425.48877000000005,922.669983,73.199997
2017-08-11,157.479996,967.98999,421.612183,914.3900150000001,72.115776
2017-08-10,155.320007,956.919983,420.15103099999993,907.23999,71.03155500000001
2017-08-09,160.429993,982.01001,428.749054,922.900024,72.085938
2017-08-08,159.453827,989.840027,426.244202,926.7899779999999,72.40424300000001
2017-08-07,158.188797,992.2700199999999,425.299896,929.3599849999999,72.016312
2017-08-04,155.77825900000002,987.580017,423.94809000000004,927.9600220000001,72.294823
2017-08-03,154.961472,986.919983,423.45108,923.650024,71.76763199999999
2017-08-02,156.52533,995.8900150000001,422.993835,930.3900150000001,71.877052
2017-08-01,149.46305800000002,996.1900019999999,427.397247,930.830017,72.195358
2017-07-31,148.148224,987.7800289999999,423.967957,930.5,72.314713
2017-07-28,148.915207,1020.0399779999999,421.453156,941.5300289999999,72.652916
2017-07-27,149.971069,1046.0,422.954102,934.090027,72.772285
2017-07-26,152.859726,1052.800049,430.11084000000005,947.7999880000001,73.657562
2017-07-25,152.142548,1039.869995,428.759003,950.7000119999999,73.79682199999999
2017-07-24,151.495071,1038.949951,425.747223,980.340027,73.209946
2017-07-21,149.682205,1025.670044,426.075226,972.919983,73.39894100000001
2017-07-20,149.751923,1028.699951,424.71344000000005,968.150024,73.82666
2017-07-19,150.429276,1026.869995,423.898376,970.8900150000001,73.46856700000001
2017-07-18,149.49295,1024.449951,424.31585700000005,965.400024,72.911537
2017-07-17,148.974976,1010.0399779999999,422.07937599999997,953.419983,72.96127299999999
2017-07-14,148.457001,1001.8099980000001,435.707001,955.98999,72.394295
2017-07-13,147.191986,1000.6300050000001,435.24978600000003,947.159973,71.389641
2017-07-12,145.16992199999999,1006.51001,432.675354,943.830017,70.77293399999999
2017-07-11,144.960739,994.1300050000001,429.31564299999997,930.090027,69.61908000000001
2017-07-10,144.49258400000002,996.4699710000001,433.61962900000003,928.7999880000001,69.609138
2017-07-07,143.61601299999998,978.76001,429.78280599999994,918.590027,69.091888
2017-07-06,142.17169199999998,965.1400150000001,422.636017,906.6900019999999,68.206604
2017-07-05,143.526367,971.400024,426.194489,911.7100220000001,68.71390500000001
2017-07-03,142.93868999999998,953.659973,426.244202,898.7000119999999,67.808723
2017-06-30,143.45665,968.0,419.87271100000004,908.7299800000001,68.564697
2017-06-29,143.117966,975.929993,420.69769299999996,917.7899779999999,68.12702900000001
2017-06-28,145.259567,990.330017,424.286041,940.48999,69.430092
2017-06-27,143.167786,976.7800289999999,419.59439100000003,927.330017,68.84320799999999
2017-06-26,145.249619,993.9799800000001,422.139008,952.2700199999999,70.156219
2017-06-23,145.707809,1003.73999,419.08743300000003,965.590027,70.832611
